sound.files,start,end,species,bottom.freq,top.freq,relative.amp,dist,distance_m,relative_dir,TA,vol
29_25N_AF_100_A.mp3,0,20,AF,5.229622396,5.329622396,0.065053901,25N,25,N,A,100
29_25N_AF_75_A.mp3,0,20,AF,5.229622396,5.329622396,0.009426585,25N,25,N,A,75
29_25N_BG_100_A.mp3,0,20,BG,6.830062305,6.930062305,0.004743094,25N,25,N,A,100
29_25N_BG_75_A.mp3,0,20,BG,6.830062305,6.930062305,0.006385295,25N,25,N,A,75
29_25N_CW5_50_A.mp3,0,20,CW5,2.953070175,3.053070175,0.012471656,25N,25,N,A,50
29_25N_CW5_75_A.mp3,0,20,CW5,2.953070175,3.053070175,0.04531936,25N,25,N,A,75
29_25N_EWP_100_A.mp3,0,20,EWP,4.155357143,4.255357143,0.018161405,25N,25,N,A,100
29_25N_EWP_75_A.mp3,0,20,EWP,4.155357143,4.255357143,0.005126672,25N,25,N,A,75
29_25N_YBC_100_A.mp3,0,20,YBC,1.652873563,1.752873563,0.018975803,25N,25,N,A,100
29_25N_YBC_75_A.mp3,0,20,YBC,1.652873563,1.752873563,0.014342046,25N,25,N,A,75
3_25S_AF_100.mp3,0,20,AF,5.229622396,5.329622396,0.069766045,25S,25,S,T,100
3_25S_AF_75.mp3,0,20,AF,5.229622396,5.329622396,0.022762794,25S,25,S,T,75
3_25S_BG_100.mp3,0,20,BG,6.830062305,6.930062305,0.064321649,25S,25,S,T,100
3_25S_BG_75.mp3,0,20,BG,6.830062305,6.930062305,0.025781399,25S,25,S,T,75
3_25S_CW5_50.mp3,0,20,CW5,2.953070175,3.053070175,0.030550088,25S,25,S,T,50
3_25S_CW5_75.mp3,0,20,CW5,2.953070175,3.053070175,0.074849075,25S,25,S,T,75
3_25S_EWP_100.mp3,0,20,EWP,4.155357143,4.255357143,0.025151671,25S,25,S,T,100
3_25S_EWP_75.mp3,0,20,EWP,4.155357143,4.255357143,0.015086321,25S,25,S,T,75
3_25S_YBC_100.mp3,0,20,YBC,1.652873563,1.752873563,0.054364346,25S,25,S,T,100
3_25S_YBC_75.mp3,0,20,YBC,1.652873563,1.752873563,0.0168713,25S,25,S,T,75
30_75S_AF_100_A.mp3,0,20,AF,5.229622396,5.329622396,0.006531397,75S,75,S,A,100
30_75S_BG_100_A.mp3,0,20,BG,6.830062305,6.930062305,0.002028719,75S,75,S,A,100
30_75S_CW5_75_A.mp3,0,20,CW5,2.953070175,3.053070175,0.011358465,75S,75,S,A,75
30_75S_YBC_100_A.mp3,0,20,YBC,1.652873563,1.752873563,0.006859288,75S,75,S,A,100
4_50N_AF_75.mp3,0,20,AF,5.229622396,5.329622396,0.168720628,50N,50,N,T,75
4_50N_BG_100.mp3,0,20,BG,6.830062305,6.930062305,0.036194258,50N,50,N,T,100
4_50N_BG_75.mp3,0,20,BG,6.830062305,6.930062305,0.017739304,50N,50,N,T,75
4_50N_CW5_75.mp3,0,20,CW5,2.953070175,3.053070175,0.036577821,50N,50,N,T,75
4_50N_EWP_100.mp3,0,20,EWP,4.155357143,4.255357143,0.022424052,50N,50,N,T,100
